"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_REGION","Región","DTI_CL_TRAMO_ETARIO","Tramo etario","Value","Flag Codes","Flags"
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V06","2018 may-jul","_T","Total país","_T","Total",55.2893064183412,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V06","2018 may-jul","_T","Total país","Y15T24","15-24 años",27.4608287794104,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V06","2018 may-jul","_T","Total país","Y25T34","25-34 años",72.1354353117354,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V06","2018 may-jul","_T","Total país","Y35T44","35-44 años",76.9503922899481,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V06","2018 may-jul","_T","Total país","Y45T54","45-54 años",75.01687944381,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V06","2018 may-jul","_T","Total país","Y55T64","55-64 años",64.7460522945983,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V06","2018 may-jul","_T","Total país","Y_GE65","65 años y más",23.8644634556799,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V07","2018 jun-ago","_T","Total país","_T","Total",55.0919440374348,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V07","2018 jun-ago","_T","Total país","Y15T24","15-24 años",26.6538133764628,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V07","2018 jun-ago","_T","Total país","Y25T34","25-34 años",72.6650174555644,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V07","2018 jun-ago","_T","Total país","Y35T44","35-44 años",76.6309329890658,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V07","2018 jun-ago","_T","Total país","Y45T54","45-54 años",74.4923402207949,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V07","2018 jun-ago","_T","Total país","Y55T64","55-64 años",64.7791647334484,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2018-V07","2018 jun-ago","_T","Total país","Y_GE65","65 años y más",23.844451454568,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","_T","Total",52.4707056612109,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","Y15T24","15-24 años",30.750512351081,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","Y25T34","25-34 años",69.8032265777674,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","Y35T44","35-44 años",73.3505118999027,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","Y45T54","45-54 años",68.4908841230434,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","Y55T64","55-64 años",56.6981819181632,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","Y_GE65","65 años y más",17.8594251266643,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","_T","Total",52.7205804700821,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","Y15T24","15-24 años",30.8856051800912,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","Y25T34","25-34 años",69.2581415110693,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","Y35T44","35-44 años",74.145818285967,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","Y45T54","45-54 años",69.3789023796104,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","Y55T64","55-64 años",56.6862681755994,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","Y_GE65","65 años y más",18.3217314054532,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total país","_T","Total",52.678763290846,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total país","Y15T24","15-24 años",29.6440443534102,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total país","Y25T34","25-34 años",69.8173621091489,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total país","Y35T44","35-44 años",73.415283510184,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total país","Y45T54","45-54 años",69.7139427058654,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total país","Y55T64","55-64 años",57.0482703102081,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total país","Y_GE65","65 años y más",18.9624252079639,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total país","_T","Total",53.0527734311395,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total país","Y15T24","15-24 años",29.7759648071278,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total país","Y25T34","25-34 años",70.101163102706,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total país","Y35T44","35-44 años",73.9454908758211,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total país","Y45T54","45-54 años",70.2858464990057,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total país","Y55T64","55-64 años",56.7214421161592,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total país","Y_GE65","65 años y más",19.4179587354284,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total país","_T","Total",53.4314261253836,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total país","Y15T24","15-24 años",29.8775465120629,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total país","Y25T34","25-34 años",70.5886730775159,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total país","Y35T44","35-44 años",73.6799386067174,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total país","Y45T54","45-54 años",70.6326298801652,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total país","Y55T64","55-64 años",57.3273435675485,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total país","Y_GE65","65 años y más",19.9619307303469,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V07","2010 jun-ago","_T","Total país","_T","Total",53.649001708183,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V07","2010 jun-ago","_T","Total país","Y15T24","15-24 años",30.2235364722025,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V07","2010 jun-ago","_T","Total país","Y25T34","25-34 años",70.4351595306738,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V07","2010 jun-ago","_T","Total país","Y35T44","35-44 años",74.1708455359595,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V07","2010 jun-ago","_T","Total país","Y45T54","45-54 años",70.9637128902589,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V07","2010 jun-ago","_T","Total país","Y55T64","55-64 años",57.0423177234127,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V07","2010 jun-ago","_T","Total país","Y_GE65","65 años y más",20.2436963824855,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V08","2010 jul-sep","_T","Total país","_T","Total",54.2184412630936,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V08","2010 jul-sep","_T","Total país","Y15T24","15-24 años",30.8187566913679,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V08","2010 jul-sep","_T","Total país","Y25T34","25-34 años",71.1927754139773,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V08","2010 jul-sep","_T","Total país","Y35T44","35-44 años",74.6279595229955,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V08","2010 jul-sep","_T","Total país","Y45T54","45-54 años",71.6029832830736,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V08","2010 jul-sep","_T","Total país","Y55T64","55-64 años",58.45607587393,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V08","2010 jul-sep","_T","Total país","Y_GE65","65 años y más",20.1061610943808,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V09","2010 ago-oct","_T","Total país","_T","Total",54.3639846189047,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V09","2010 ago-oct","_T","Total país","Y15T24","15-24 años",29.9553224754195,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V09","2010 ago-oct","_T","Total país","Y25T34","25-34 años",71.1171243404081,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V09","2010 ago-oct","_T","Total país","Y35T44","35-44 años",74.7910087413841,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V09","2010 ago-oct","_T","Total país","Y45T54","45-54 años",72.133850107686,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V09","2010 ago-oct","_T","Total país","Y55T64","55-64 años",59.6432863381164,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V09","2010 ago-oct","_T","Total país","Y_GE65","65 años y más",20.4130906697127,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V10","2010 sep-nov","_T","Total país","_T","Total",54.8235492133284,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V10","2010 sep-nov","_T","Total país","Y15T24","15-24 años",30.0409722981614,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V10","2010 sep-nov","_T","Total país","Y25T34","25-34 años",71.7206300245096,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V10","2010 sep-nov","_T","Total país","Y35T44","35-44 años",75.3489124065012,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V10","2010 sep-nov","_T","Total país","Y45T54","45-54 años",72.7038818655406,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V10","2010 sep-nov","_T","Total país","Y55T64","55-64 años",60.1759931034264,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V10","2010 sep-nov","_T","Total país","Y_GE65","65 años y más",21.0142527224541,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V11","2010 oct-dic","_T","Total país","_T","Total",55.0735056015297,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V11","2010 oct-dic","_T","Total país","Y15T24","15-24 años",30.7835354974814,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V11","2010 oct-dic","_T","Total país","Y25T34","25-34 años",72.4023322716723,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V11","2010 oct-dic","_T","Total país","Y35T44","35-44 años",75.4898393895754,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V11","2010 oct-dic","_T","Total país","Y45T54","45-54 años",73.1018659914234,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V11","2010 oct-dic","_T","Total país","Y55T64","55-64 años",60.1468427247922,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V11","2010 oct-dic","_T","Total país","Y_GE65","65 años y más",21.2533906171902,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V12","2010 nov-ene","_T","Total país","_T","Total",55.3630456795937,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V12","2010 nov-ene","_T","Total país","Y15T24","15-24 años",32.9156291422232,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V12","2010 nov-ene","_T","Total país","Y25T34","25-34 años",72.2682005239056,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V12","2010 nov-ene","_T","Total país","Y35T44","35-44 años",75.6234840307249,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V12","2010 nov-ene","_T","Total país","Y45T54","45-54 años",72.7204941914998,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V12","2010 nov-ene","_T","Total país","Y55T64","55-64 años",59.019346345163,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2010-V12","2010 nov-ene","_T","Total país","Y_GE65","65 años y más",21.8275090380648,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V01","2011 dic-feb","_T","Total país","_T","Total",55.3100325940631,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V01","2011 dic-feb","_T","Total país","Y15T24","15-24 años",33.7899308517008,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V01","2011 dic-feb","_T","Total país","Y25T34","25-34 años",72.0112129809913,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V01","2011 dic-feb","_T","Total país","Y35T44","35-44 años",75.2856968762432,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V01","2011 dic-feb","_T","Total país","Y45T54","45-54 años",72.6544623355141,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V01","2011 dic-feb","_T","Total país","Y55T64","55-64 años",59.2102178619088,,
