"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_TRAMO_ETARIO","Tramo etario","Value","Flag Codes","Flags"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total",9.0397394896575,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","Y15T24","15-24 años",20.2073214656404,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","Y25T34","25-34 años",10.7666529123995,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","Y35T44","35-44 años",6.74300407140658,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","Y45T54","45-54 años",6.19063172149369,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","Y55T64","55-64 años",4.31315162283045,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","Y_GE65","65 años y más",3.30127292606532,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total",8.6269424392637,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","Y15T24","15-24 años",18.6227958901396,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","Y25T34","25-34 años",10.996682973601,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","Y35T44","35-44 años",6.28706411085788,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","Y45T54","45-54 años",5.81936436234292,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","Y55T64","55-64 años",4.41564420570576,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V03","2010 feb-abr","Y_GE65","65 años y más",3.35383195556122,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V04","2010 mar-may","_T","Total",8.82588624843854,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V04","2010 mar-may","Y15T24","15-24 años",19.3515826769074,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V04","2010 mar-may","Y25T34","25-34 años",10.6785026232035,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V04","2010 mar-may","Y35T44","35-44 años",7.00409114078865,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V04","2010 mar-may","Y45T54","45-54 años",6.08378976269326,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V04","2010 mar-may","Y55T64","55-64 años",4.48970737288776,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V04","2010 mar-may","Y_GE65","65 años y más",3.20960518731442,"c","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 20%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","_T","Total",8.48778722554695,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","Y15T24","15-24 años",18.6176184512509,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","Y25T34","25-34 años",10.0498722057524,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","Y35T44","35-44 años",6.74299316873075,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","Y45T54","45-54 años",6.01255273055574,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","Y55T64","55-64 años",4.72157607520163,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V05","2010 abr-jun","Y_GE65","65 años y más",2.55399462549478,"c","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 20%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V06","2010 may-jul","_T","Total",8.31473278923584,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V06","2010 may-jul","Y15T24","15-24 años",17.547675308287,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V06","2010 may-jul","Y25T34","25-34 años",9.80172630756861,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V06","2010 may-jul","Y35T44","35-44 años",6.97644189399909,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V06","2010 may-jul","Y45T54","45-54 años",6.22249016086089,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V06","2010 may-jul","Y55T64","55-64 años",4.57068453551068,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V06","2010 may-jul","Y_GE65","65 años y más",2.17383808319763,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
