"DTI_CL_INDICADOR","Indicador","DTI_CL_ANO","Año","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","DTI_CL_TRAMO_ETARIO","Tramo etario","Value","Flag Codes","Flags"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","_T","Total",360265.1875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","Y15T24","15-24 años",197654.953125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","Y25T34","25-34 años",357460.78125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","Y35T44","35-44 años",402136.15625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","Y45T54","45-54 años",391606.03125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","Y55T64","55-64 años",372329.5,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos","Y_GE65","65 años y más",346982.71875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","M","Hombres","_T","Total",417884.9375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","F","Mujeres","_T","Total",280857.4375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","_T","Total",293648.09375,,
